region,risk_aversion,utility,optimal_y,risk_free_weight,product_category,citi_products,graph_1_x,graph_1_y,graph_2_x,graph_2_y
sembawang,1.8000000000000003,0.11775,0.4109138724523338,0.5890861275476662,5,"['Mixed Fund', 'Foreign Investment Fund', 'Segment Upgrade/Slideback', 'AUM Top Up']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07439160000000002, 0.07756640000000001, 0.0795244, 0.08026559999999999, 0.07979, 0.0780976, 0.07518839999999999, 0.07106239999999998, 0.06571959999999998, 0.05915999999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.0709, 0.07360000000000001, 0.0781, 0.08440000000000002, 0.09250000000000001, 0.10240000000000002, 0.11410000000000001, 0.12760000000000002, 0.14290000000000003, 0.16000000000000003]"
sengkang,1.8300000000000003,0.1177125,0.40417757946131194,0.5958224205386881,5,"['Mixed Fund', 'Foreign Investment Fund', 'Segment Upgrade/Slideback', 'AUM Top Up']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07438146000000001, 0.07752584000000001, 0.07943313999999999, 0.08010336, 0.0795365, 0.07773256, 0.07469153999999999, 0.07041344, 0.06489825999999999, 0.05814599999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.070915, 0.07366, 0.07823500000000001, 0.08464, 0.09287500000000001, 0.10294, 0.114835, 0.12856000000000004, 0.14411500000000005, 0.16150000000000003]"
serangoon,1.6920000000000002,0.11788499999999999,0.4371424175024828,0.5628575824975173,6,"['Multi Asset Class Funds', 'Equity Fund', 'Long Term Equity Fund', 'Foreign Investment Fund']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07442810400000001, 0.07771241600000002, 0.07985293599999999, 0.08084966399999999, 0.0807026, 0.079411744, 0.076977096, 0.07339865599999998, 0.06867642399999999, 0.06281039999999999]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.070846, 0.073384, 0.077614, 0.08353600000000001, 0.09115000000000001, 0.100456, 0.111454, 0.12414400000000003, 0.13852600000000004, 0.15460000000000002]"
simpang,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
southern islands,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
sungei kadut,0.12000000000000002,0.11985,6.1637080867850065,-5.1637080867850065,9,"['Very High Risk Investment', 'CTG Cross-Sell', 'NBO AUM', 'Top Up IPB', 'NBO MGM IPB']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07495944000000002, 0.07983776000000002, 0.08463496, 0.08935103999999999, 0.093986, 0.09853984, 0.10301255999999999, 0.10740416, 0.11171463999999999, 0.11594399999999999]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07006000000000001, 0.07024000000000001, 0.07054, 0.07096000000000001, 0.07150000000000001, 0.07216, 0.07294, 0.07384, 0.07486000000000001, 0.07600000000000001]"
tampines,2.2199999999999998,0.117225,0.33317341009648693,0.6668265899035131,1,"['Retail Product Cross-Sell', 'Money Market Fund: Local', 'MGM Retail']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07424964, 0.07699856000000002, 0.07824676, 0.07799423999999999, 0.076241, 0.07298704, 0.06823235999999999, 0.06197695999999999, 0.05422083999999999, 0.04496399999999999]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07111, 0.07444, 0.07999, 0.08776, 0.09775, 0.10996, 0.12439, 0.14104, 0.15991, 0.181]"
tanglin,1.2600000000000002,0.11842499999999999,0.5870198177890482,0.4129801822109518,7,"['Sectorial Fund', 'FX', 'CTP Cross-Sell']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07457412000000001, 0.07829648000000002, 0.08116707999999999, 0.08318592, 0.084353, 0.08466832, 0.08413187999999999, 0.08274367999999999, 0.08050371999999997, 0.07741199999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07063000000000001, 0.07252, 0.07567, 0.08008000000000001, 0.08575, 0.09268000000000001, 0.10087000000000002, 0.11032000000000003, 0.12103000000000003, 0.133]"
toa payoh,2.1,0.117375,0.352211890673429,0.6477881093265709,2,"['Money Market: Offshore', 'Credit Card Cross-Sell', 'Mortgage']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07429020000000001, 0.07716080000000002, 0.0786118, 0.0786432, 0.07725499999999999, 0.0744472, 0.0702198, 0.06457279999999999, 0.05750619999999998, 0.04901999999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07105, 0.0742, 0.07945, 0.08680000000000002, 0.09625, 0.1078, 0.12145, 0.13720000000000004, 0.15505000000000002, 0.17500000000000002]"
tuas,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
